Timestamp,IP,Requests Send,Requests Recieved,Responses Send,Responses Recieved
2021-12-02 12:54:00.256966,127.0.0.13,2,2,0,2
2021-12-02 12:54:30.289704,127.0.0.13,2,2,0,2
2021-12-02 12:55:00.321095,127.0.0.13,2,2,0,2
2021-12-02 12:55:30.361272,127.0.0.13,2,2,0,2
2021-12-02 12:56:00.371820,127.0.0.13,2,2,0,2
2021-12-02 12:56:30.381474,127.0.0.13,2,2,0,2
2021-12-02 12:57:00.420723,127.0.0.13,2,2,0,2
2021-12-02 12:57:30.465172,127.0.0.13,2,2,0,2
2021-12-02 12:58:00.514858,127.0.0.13,2,2,0,2
2021-12-02 12:58:30.558768,127.0.0.13,2,2,0,2
2021-12-02 12:59:00.574673,127.0.0.13,2,2,0,2
2021-12-02 12:59:30.629194,127.0.0.13,2,2,0,2
2021-12-02 13:00:00.692643,127.0.0.13,2,2,0,2
2021-12-02 13:00:30.739959,127.0.0.13,2,2,0,2
2021-12-02 13:01:00.784544,127.0.0.13,2,2,0,2
2021-12-02 13:01:30.815917,127.0.0.13,2,2,0,2
2021-12-02 13:02:00.844707,127.0.0.13,2,2,0,2
2021-12-02 13:02:30.880408,127.0.0.13,2,2,0,2
2021-12-02 13:03:00.906496,127.0.0.13,2,2,0,2
2021-12-02 13:03:30.942131,127.0.0.13,2,2,0,2
2021-12-02 13:04:00.960533,127.0.0.13,2,2,0,2
2021-12-02 13:04:30.977844,127.0.0.13,2,2,0,2
2021-12-02 13:05:01.007640,127.0.0.13,2,2,0,2
2021-12-02 13:05:31.081184,127.0.0.13,2,2,0,2
2021-12-02 13:06:01.206394,127.0.0.13,2,2,0,2
2021-12-02 13:06:31.272275,127.0.0.13,2,2,0,2
2021-12-02 13:07:01.358767,127.0.0.13,2,2,0,2
2021-12-02 13:07:31.453170,127.0.0.13,2,2,0,2
2021-12-02 13:08:01.489261,127.0.0.13,2,2,0,2
2021-12-02 13:08:31.536368,127.0.0.13,2,2,0,2
2021-12-02 13:09:01.562702,127.0.0.13,2,2,0,2
2021-12-02 13:09:31.571332,127.0.0.13,2,2,0,2
2021-12-02 13:10:01.584370,127.0.0.13,2,2,0,2
2021-12-02 13:10:31.653461,127.0.0.13,2,2,0,2
2021-12-02 13:11:01.712735,127.0.0.13,2,2,0,2
2021-12-02 13:11:31.739687,127.0.0.13,2,2,0,2
2021-12-02 13:12:01.758900,127.0.0.13,2,2,0,2
2021-12-02 13:12:31.780801,127.0.0.13,2,2,0,2
2021-12-02 13:13:01.825039,127.0.0.13,2,2,0,2
2021-12-02 13:13:31.859591,127.0.0.13,2,2,0,2
2021-12-02 13:14:01.895600,127.0.0.13,2,2,0,2
2021-12-02 13:14:31.915210,127.0.0.13,2,2,0,2
2021-12-02 13:15:01.927943,127.0.0.13,2,2,0,2
2021-12-02 13:15:31.943601,127.0.0.13,2,2,0,2
2021-12-02 13:16:01.952898,127.0.0.13,2,2,0,2
2021-12-02 13:16:31.972321,127.0.0.13,2,2,0,2
2021-12-02 13:17:02.014242,127.0.0.13,2,2,0,2
2021-12-02 13:17:32.045285,127.0.0.13,2,2,0,2
2021-12-02 13:18:02.071416,127.0.0.13,2,2,0,2
2021-12-02 13:18:32.084537,127.0.0.13,2,2,0,2
2021-12-02 13:19:02.100608,127.0.0.13,2,2,0,2
2021-12-02 13:19:32.116267,127.0.0.13,2,2,0,2
